nurse_id,first_name,last_name,license_number,specialization,hire_date,supervisor_nurse_id,email,phone,shift_preference,is_active
1,Yvonne,Nelson,RN379501,ICU,2010-11-09,12,nurse1@hospital.org,555-7211,Rotating,True
2,Karen,Reed,RN450010,Cardiology,2013-09-03,18,nurse2@hospital.org,555-1027,Weekend,True
3,Maria,Clark,RN106915,Surgery,2020-01-21,,nurse3@hospital.org,555-2671,Day,True
4,Donna,Adams,RN405976,Orthopedics,2022-11-11,102,nurse4@hospital.org,555-8813,Rotating,True
5,Karen,Quinn,RN940430,General,2014-08-22,40,nurse5@hospital.org,555-9635,Rotating,True
6,Uma,Quinn,RN555487,General,2021-09-04,,nurse6@hospital.org,555-7873,Rotating,True
7,Fiona,Xu,RN960031,ICU,2020-12-02,83,nurse7@hospital.org,555-5290,Night,True
8,Carol,Xu,RN578954,Orthopedics,2022-11-09,114,nurse8@hospital.org,555-6506,Day,True
9,Linda,Adams,RN469008,Cardiology,2019-02-06,81,nurse9@hospital.org,555-9716,Day,True
10,Yvonne,Underwood,RN855284,Cardiology,2022-03-16,,nurse10@hospital.org,555-8926,Night,True
11,Yvonne,Owen,RN146273,ER,2013-01-08,49,nurse11@hospital.org,555-8476,Night,True
12,Iris,Nelson,RN765078,Orthopedics,2010-01-03,88,nurse12@hospital.org,555-2779,Day,True
13,Nancy,Adams,RN934388,Orthopedics,2011-08-25,11,nurse13@hospital.org,555-9955,Weekend,True
14,Betty,Young,RN688867,Surgery,2019-04-16,61,nurse14@hospital.org,555-6707,Day,True
15,Cathy,Nelson,RN167367,Pediatrics,2018-05-07,,nurse15@hospital.org,555-4849,Day,True
16,Quinn,Miller,RN663647,Oncology,2013-04-12,98,nurse16@hospital.org,555-5770,Weekend,True
17,Quinn,Davis,RN760201,Pediatrics,2023-03-21,44,nurse17@hospital.org,555-7328,Weekend,True
18,Alice,Lee,RN571569,General,2016-10-24,86,nurse18@hospital.org,555-8028,Day,True
19,Quinn,Reed,RN244044,Surgery,2021-03-21,67,nurse19@hospital.org,555-2716,Rotating,True
20,Iris,Quinn,RN355054,Cardiology,2017-03-23,12,nurse20@hospital.org,555-5334,Weekend,True
21,Quinn,Garcia,RN894941,ER,2014-05-10,26,nurse21@hospital.org,555-5395,Night,True
22,Rachel,Reed,RN239950,Pediatrics,2020-11-08,44,nurse22@hospital.org,555-9065,Weekend,True
23,Amy,Smith,RN609733,Surgery,2018-11-17,107,nurse23@hospital.org,555-4672,Night,True
24,Zara,Taylor,RN738748,General,2017-09-14,102,nurse24@hospital.org,555-3004,Day,True
25,Brenda,Nelson,RN430832,Surgery,2014-11-10,25,nurse25@hospital.org,555-8357,Rotating,True
26,Maria,Zhang,RN165475,Orthopedics,2018-06-02,24,nurse26@hospital.org,555-9199,Rotating,True
27,Maria,Lee,RN172518,Oncology,2012-09-29,72,nurse27@hospital.org,555-5348,Rotating,True
28,Maria,James,RN212686,General,2022-11-12,76,nurse28@hospital.org,555-6319,Night,True
29,Susan,Smith,RN460766,Cardiology,2025-06-27,57,nurse29@hospital.org,555-8462,Rotating,True
30,Alice,Nelson,RN792274,General,2012-12-16,16,nurse30@hospital.org,555-8820,Day,True
31,Brenda,Lee,RN331585,ER,2020-05-24,42,nurse31@hospital.org,555-9259,Rotating,True
32,Alice,King,RN865297,Orthopedics,2015-02-08,,nurse32@hospital.org,555-2026,Rotating,True
33,Linda,Nelson,RN145514,ER,2021-02-21,,nurse33@hospital.org,555-3699,Night,True
34,Xena,Quinn,RN980424,Cardiology,2016-10-16,98,nurse34@hospital.org,555-9189,Weekend,True
35,Olivia,Taylor,RN671433,Oncology,2014-05-19,14,nurse35@hospital.org,555-9531,Day,True
36,Zara,Owen,RN216337,ER,2022-10-14,103,nurse36@hospital.org,555-8088,Weekend,True
37,Grace,Garcia,RN353033,ER,2015-06-26,18,nurse37@hospital.org,555-4410,Day,True
38,Uma,King,RN673495,ER,2010-12-09,53,nurse38@hospital.org,555-5039,Weekend,True
39,Julia,Davis,RN396273,Surgery,2014-10-03,,nurse39@hospital.org,555-9445,Day,True
40,Hannah,Nelson,RN332835,Orthopedics,2018-10-06,60,nurse40@hospital.org,555-4095,Weekend,True
41,Brenda,Baker,RN400716,Pediatrics,2020-09-01,,nurse41@hospital.org,555-2750,Night,True
42,Linda,Reed,RN744464,ER,2019-12-25,42,nurse42@hospital.org,555-9533,Rotating,True
43,Betty,Davis,RN633221,ICU,2023-04-19,120,nurse43@hospital.org,555-6322,Day,True
44,Fiona,Nelson,RN232274,General,2013-02-25,50,nurse44@hospital.org,555-1087,Night,True
45,Diana,Evans,RN329714,General,2019-08-26,5,nurse45@hospital.org,555-4290,Weekend,True
46,Wendy,Clark,RN240854,ER,2018-01-19,60,nurse46@hospital.org,555-8200,Night,True
47,Karen,Vance,RN249953,ICU,2025-02-22,56,nurse47@hospital.org,555-1156,Rotating,True
48,Hannah,Baker,RN160770,ICU,2012-06-22,101,nurse48@hospital.org,555-5090,Rotating,True
49,Zara,Taylor,RN904698,Oncology,2019-06-10,1,nurse49@hospital.org,555-7025,Rotating,True
50,Betty,Taylor,RN403383,Surgery,2017-01-11,113,nurse50@hospital.org,555-1053,Rotating,True
51,Carol,Miller,RN854575,Pediatrics,2023-09-07,99999,nurse51@hospital.org,555-6335,Weekend,True
52,Rachel,Garcia,RN518457,ICU,2014-04-20,96,nurse52@hospital.org,555-4364,Rotating,True
53,Cathy,Reed,RN671135,Pediatrics,2018-09-08,84,nurse53@hospital.org,555-1437,Rotating,True
54,Uma,Vance,RN269193,Cardiology,2018-03-14,116,nurse54@hospital.org,555-4014,Day,True
55,Iris,Davis,RN177166,Surgery,2011-04-11,13,nurse55@hospital.org,555-5175,Rotating,True
56,Iris,Quinn,RN930913,ICU,2024-12-10,80,nurse56@hospital.org,555-9764,Day,False
57,Zara,Underwood,RN899077,Oncology,2019-11-10,103,nurse57@hospital.org,555-4849,Day,True
58,Donna,Young,RN562362,Orthopedics,2018-01-18,13,nurse58@hospital.org,555-3953,Night,True
59,Donna,Adams,RN946906,Orthopedics,2012-11-28,31,nurse59@hospital.org,555-2373,Night,True
60,Cathy,Miller,RN968291,Oncology,2011-06-16,100,nurse60@hospital.org,555-1390,Day,True
61,Betty,Underwood,RN807530,Cardiology,2016-12-17,73,nurse61@hospital.org,555-6102,Rotating,False
62,Julia,Garcia,RN547716,Cardiology,2021-02-27,40,nurse62@hospital.org,555-1736,Weekend,True
63,Fiona,Vance,RN149642,Cardiology,2011-05-29,20,nurse63@hospital.org,555-8356,Night,True
64,Nancy,White,RN660777,Surgery,2011-09-04,111,nurse64@hospital.org,555-4542,Day,True
65,Donna,James,RN835373,ER,2014-09-02,,nurse65@hospital.org,555-1583,Night,True
66,Betty,Nelson,RN935895,General,2023-10-20,92,nurse66@hospital.org,555-7296,Rotating,True
67,Nancy,Vance,RN813362,ICU,2011-12-17,52,nurse67@hospital.org,555-1712,Night,True
68,Zara,White,RN793449,Oncology,2018-03-08,18,nurse68@hospital.org,555-9357,Weekend,True
69,Fiona,Reed,RN654843,ICU,2010-01-20,109,nurse69@hospital.org,555-3359,Day,True
70,Zara,Reed,RN602688,ER,2018-05-03,81,nurse70@hospital.org,555-5853,Weekend,True
71,Rachel,Young,RN690006,Surgery,2014-06-16,107,nurse71@hospital.org,555-3771,Day,True
72,Zara,Lee,RN891002,Orthopedics,2024-11-16,63,nurse72@hospital.org,555-3903,Day,False
73,Susan,Miller,RN242392,ICU,2020-12-12,30,nurse73@hospital.org,555-9612,Night,True
74,Karen,King,RN734096,Orthopedics,2024-07-19,64,nurse74@hospital.org,555-5381,Rotating,True
75,Xena,White,RN981465,ER,2025-06-30,14,nurse75@hospital.org,555-9450,Night,True
76,Zara,Underwood,RN275364,Orthopedics,2014-01-04,19,nurse76@hospital.org,555-5080,Night,True
77,Alice,Perez,RN263333,Oncology,2017-11-08,86,nurse77@hospital.org,555-9272,Weekend,True
78,Cathy,Perez,RN515560,Surgery,2011-01-23,109,nurse78@hospital.org,555-8034,Weekend,True
79,Olivia,Owen,RN115170,ICU,2010-11-08,,nurse79@hospital.org,555-6778,Rotating,True
80,Rachel,White,RN806074,General,2023-03-15,90,nurse80@hospital.org,555-6589,Night,True
81,Grace,Vance,RN977097,General,2019-08-12,58,nurse81@hospital.org,555-1233,Rotating,False
82,Iris,Lee,RN670837,Oncology,2025-02-13,,nurse82@hospital.org,555-2171,Rotating,True
83,Eve,Quinn,RN110540,General,2021-07-24,72,nurse83@hospital.org,555-7888,Weekend,True
84,Fiona,Lee,RN340003,Surgery,2025-08-27,25,nurse84@hospital.org,555-7794,Weekend,True
85,Maria,Davis,RN305476,Oncology,2012-01-05,66,nurse85@hospital.org,555-2983,Rotating,True
86,Nancy,Underwood,RN786447,General,2019-10-19,9,nurse86@hospital.org,555-8329,Day,True
87,Quinn,Miller,RN494708,Surgery,2018-04-01,39,nurse87@hospital.org,555-6720,Day,True
88,Olivia,Miller,RN624379,Surgery,2010-09-28,4,nurse88@hospital.org,555-4352,Rotating,True
89,Tina,Perez,RN478219,Cardiology,2021-12-26,41,nurse89@hospital.org,555-1564,Weekend,True
90,Wendy,Perez,RN685224,Cardiology,2017-01-01,31,nurse90@hospital.org,555-3665,Night,True
91,Uma,Owen,RN585744,Oncology,2019-10-15,61,nurse91@hospital.org,555-5807,Day,True
92,Diana,Taylor,RN985336,Surgery,2018-08-02,,nurse92@hospital.org,555-9689,Night,True
93,Nancy,Zhang,RN633969,General,2025-03-09,90,nurse93@hospital.org,555-5468,Night,True
94,Hannah,White,RN537511,ICU,2023-01-30,67,nurse94@hospital.org,555-7317,Day,True
95,Eve,Foster,RN461015,Pediatrics,2013-02-18,120,nurse95@hospital.org,555-5985,Weekend,True
96,Hannah,Taylor,RN956147,Cardiology,2016-08-27,79,nurse96@hospital.org,555-4133,Day,True
97,Yvonne,Garcia,RN740798,General,2010-07-30,119,nurse97@hospital.org,555-3963,Night,True
98,Fiona,King,RN141432,ICU,2015-06-17,103,nurse98@hospital.org,555-1676,Rotating,True
99,Nancy,Foster,RN199094,ER,2023-08-05,60,nurse99@hospital.org,555-4883,Day,True
100,Julia,Foster,RN572451,Pediatrics,2023-01-19,87,nurse100@hospital.org,555-7042,Weekend,False
101,Nancy,Nelson,RN860768,Pediatrics,2022-10-10,40,nurse101@hospital.org,555-3354,Night,True
102,Olivia,Quinn,RN253361,Cardiology,2013-07-25,,nurse102@hospital.org,555-9674,Night,True
103,Diana,Davis,RN417351,Pediatrics,2025-09-19,99999,nurse103@hospital.org,555-1267,Weekend,True
104,Maria,,RN679352,Cardiology,2023-12-01,86,nurse104@hospital.org,555-8074,Day,True
105,Iris,Harris,RN258828,Cardiology,2014-04-07,39,nurse105@hospital.org,555-1145,Day,True
106,Carol,Foster,RN587498,Surgery,2021-04-27,63,nurse106@hospital.org,555-2180,Weekend,True
107,Uma,Adams,RN248293,Oncology,2017-06-30,58,nurse107@hospital.org,555-3084,Weekend,True
108,Julia,Davis,RN830408,General,2020-10-05,109,nurse108@hospital.org,555-6747,Rotating,True
109,Donna,White,RN366858,Oncology,2022-11-17,46,nurse109@hospital.org,555-9635,Day,True
110,Linda,Owen,RN569168,Orthopedics,2013-05-18,45,nurse110@hospital.org,555-3922,Night,True
111,Xena,Owen,RN892526,Pediatrics,2025-02-22,27,nurse111@hospital.org,555-9985,Night,True
112,Fiona,Irwin,RN700874,Surgery,2018-11-14,49,nurse112@hospital.org,555-9758,Weekend,True
113,Hannah,Perez,RN336408,Cardiology,2013-06-21,118,nurse113@hospital.org,555-6634,Weekend,True
114,Alice,Underwood,RN588901,Surgery,2020-03-09,92,nurse114@hospital.org,555-1887,Night,True
115,Fiona,Perez,RN291157,Pediatrics,2015-06-06,35,nurse115@hospital.org,555-9694,Night,True
116,Rachel,Perez,RN159016,Orthopedics,2022-08-20,52,nurse116@hospital.org,555-7871,Rotating,False
117,Zara,Evans,RN178706,Cardiology,2019-10-30,42,nurse117@hospital.org,555-5950,Day,False
118,Iris,Young,RN579489,General,2023-11-21,54,nurse118@hospital.org,555-1659,Day,True
119,Hannah,Davis,RN642737,General,2010-11-30,55,nurse119@hospital.org,555-7118,Night,False
120,Carol,Clark,RN635297,General,2022-01-21,89,nurse120@hospital.org,555-9135,Rotating,True
